price,rating,review_count,review_sentiment,review_subjectivity,title_length,word_count,brand_CHERRY,brand_CLAVIER,brand_CORSAIR,brand_GLORIOUS,brand_LOGITECH,brand_MARS,brand_OTHER,brand_RAZER,brand_STEELSERIES,brand_THE,brand_TRUST,is_mechanical,is_wireless,is_rgb,is_azerty,price_log,is_successful
23.74,4.4,3,0.0,1.0,121,18,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.208421366964342,0
25.24,4.5,33457,0.20703703703703707,0.46666666666666673,164,24,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,3.267284964075888,1
463.99,4.6,129,0.2039655172413793,0.5399999999999999,78,12,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,6.142015899979769,1
17.75,4.275574712643678,0,0.0,0.0,124,17,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,2.9311937524164198,0
32.99,4.2,344,0.24999999999999997,1.0,185,29,False,False,False,False,False,False,False,False,False,True,False,1,0,1,1,3.5260663637080247,1
82.18,4.3,26,0.22499999999999998,0.5,185,25,False,False,False,True,False,False,False,False,False,False,False,1,0,1,0,4.421006934314765,0
16.89,4.2,137,0.43333333333333335,0.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,2.884241897520628,1
26.24,4.5,1880,0.625,0.0,71,10,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,3.3046864812813115,1
21.99,3.9,42,0.2,0.0,181,26,False,False,False,False,False,False,False,False,False,False,True,0,0,1,1,3.1350593387750902,0
29.56,4.275574712643678,0,0.0,0.0,121,17,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,3.4196919642983197,0
69.56,4.4,1233,0.7,0.0,183,33,False,False,True,False,False,False,False,False,False,False,False,0,0,1,0,4.256463411698536,1
24.9,4.275574712643678,0,0.0,0.0,99,16,False,True,False,False,False,False,False,False,False,False,False,0,0,1,0,3.254242968705492,0
41.66,4.275574712643678,0,0.0,0.0,102,16,False,True,False,False,False,False,False,False,False,False,False,1,0,1,1,3.753261713043204,0
39.9,4.6,6,0.124,0.0,179,27,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,3.711130063048756,0
39.99,4.4,137,0.26666666666666666,0.0,191,34,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.7133281345162463,1
289.0,4.275574712643678,0,0.0,0.0,126,24,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,5.66988092298052,0
94.41,4.275574712643678,0,0.0,0.0,197,29,False,False,False,True,False,False,False,False,False,False,False,1,0,1,0,4.558183394763755,0
17.99,4.275574712643678,0,0.0,0.0,162,21,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,2.9439125248241944,0
89.99,4.2,225,0.36,0.5833333333333333,195,30,False,False,True,False,False,False,False,False,False,False,False,1,0,1,1,4.5107496103686,1
61.99,4.2,123,0.4070833333333333,0.5833333333333333,183,26,False,False,False,False,False,False,False,False,False,True,False,1,0,1,1,4.142975983633837,1
44.0,4.6,49496,0.2792857142857143,0.4801587301587302,183,25,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,3.8066624897703196,1
79.99,4.4,48,0.0,0.0,133,21,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,4.3943256902608985,1
105.35,3.7,4,0.0,0.0,62,9,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,4.666735541646246,0
